序號,管理委員會,建築物地址
586,葉綠墅社區,中壢區華美一路
587,致遠華城管理負責人,中壢區華夏一村
588,龍城社區,中壢區華勛街
589,春天別墅社區管理委員會,中壢區華愛一街
590,薪水別墅,中壢區華愛街
591,鄉格里拉社區管理委員會,中壢區圓光一路
592,愛悅舍公寓大廈管理委員會,中壢區廈門街
593,白金新宮名廈,中壢區愛華里9鄰
594,益家大樓管理負責人,中壢區慈惠一街
595,彭園華廈管理負責人,中壢區慈惠三街
596,皇家宮庭,中壢區慈惠三街
597,哥德宮庭,中壢區慈惠三街
598,百世商場,中壢區慈惠三街
599,凱撒宮庭管理委員會,中壢區慈惠三街
600,羅馬宮庭,中壢區慈惠三街
601,凱撒宮庭,中壢區慈惠三街
602,順德公寓大廈管理負責人,中壢區慈惠三街
603,中原華莊管理委員會,中壢區新中一街
604,富景中原管理委員會,中壢區新中一街
605,大學藝墅館,中壢區新中一街
606,中原DOUBLE社區管理委員會,中壢區新中二街
607,歡喜中原大廈,中壢區新中北路
608,傳世御苑社區管理委員會,中壢區新中北路二段
609,天廈大樓管理負責人,中壢區新中北路
610,中原苑社區管理委員會,中壢區新中北路
611,大清天朵二期社區管理委員會,中壢區新中北路二段
612,天朵社區管理委員會,中壢區新中北路二段
613,光益社區管理負責人,中壢區新生路
614,美麗宮庭大廈管理委員會,中壢區新生路
615,景榮大樓,中壢區新生路
616,新生公寓大廈管理負責人,中壢區新生路
617,友禪新生店面管理委員會,中壢區新生路三段
618,友禪新生社區管理委員會,中壢區新生路三段
619,傳家堡社區管理委員會,中壢區新生路四段
620,智聖天廈,中壢區新明路
621,英士第大樓管理負責人:林柏欽,中壢區新興里10鄰
622,百利大樓,中壢區新興路
623,中壢京站社區管理委員會,中壢區新興路
624,巨蛋花園,中壢區溪州三街
625,快樂頌大廈,中壢區溪州三街
626,站前藝術館社區管理委員會,中壢區溪洲街
627,榮耀歐洲社區管理委員會,中壢區溪洲街
628,富堉巴黎管理負責人黃秋秀,中壢區義民路一段
629,太睿A19社區管理委員會,中壢區聖溪二路
630,長豐大廈管理負責人,中壢區聖德路一段
631,溫莎社區,中壢區聖德路二段
632,萬大社區管理委員會,中壢區萬大路
633,萬能學苑社區管理負責人,中壢區萬大路
634,白宮大廈,中壢區裕民街
635,圓融社區,中壢區過領里4鄰
636,大清哈佛社區管理委員會,中壢區過嶺里12鄰
637,宜誠天匯管理委員會,中壢區過嶺里12鄰
638,松瑋公寓大廈管理負責人,中壢區過嶺里14鄰
639,喜苑社區管理委員會,中壢區過嶺里14鄰
640,富帝名門社區管理負責人,中壢區過嶺里14鄰
641,牛津花園,中壢區過嶺里3鄰
642,水雲居社區管理委員會,中壢區過嶺里3鄰
643,群硯典藏Ⅲ社區管理委員會,中壢區過嶺里4鄰
644,大墅哲學社區管理委員會,中壢區過嶺里7鄰
645,和風社區,中壢區過嶺里7鄰
646,中壢市花語墅社區,中壢區過嶺里1鄰
647,鄉根別墅社區住戶管理委員會,中壢區過嶺路一段
648,東坡庭園社區管理委員會,中壢區過嶺路二段
649,龍之鄉第二期大廈,中壢區嘉興二街
650,裕記豪門,中壢區嘉興街
651,哈佛林BC管理委員會,中壢區實踐路
652,中原華廈,中壢區實踐路
653,柏德CITY社區,中壢區實踐路
654,柏德公園B區公寓大廈,中壢區實踐路
655,柏德公園A區社區管理委員會,中壢區實踐路
656,領袖中原社區管理委員會,中壢區實踐路
657,歐鄉庭園社區,中壢區榮民南路
658,凡賽斯社區管理委員會,中壢區榮民南路
659,薪語墅社區管理委員會,中壢區榮民南路
660,龍大莊三期社區,中壢區榮民南路
661,冠鼎御硯社區管理委員會,中壢區榮民南路
662,萬寶龍花園別莊,中壢區榮民南路
663,夢公園別墅管理委員會,中壢區榮民南路
664,歐鎮大廈管理委員會,中壢區榮民路
665,書香翡翠大樓,中壢區榮民路
666,惠眾保全大樓管理負責人,中壢區榮民路
667,玫瑰大道社區,中壢區榮民路
668,福鎮社區管理委員會,中壢區榮民路
669,自強名門大樓,中壢區榮民路
670,憶鄉源社區,中壢區榮安14街
671,榮安學園管理負責人  彭文炎,中壢區榮安一街
672,元智E生活公寓大廈管理委員會,中壢區榮安一街
673,統領大國大樓區,中壢區榮安一街
674,悠活十八社區,中壢區榮安一街
675,紅透天社區管理委員會,中壢區榮安七街
676,新津和府,中壢區榮安九街
677,元智金套房社區,中壢區榮安二街
678,正達公寓大廈管理負責人,中壢區榮安二街
679,龍威別墅,中壢區榮安八街
680,幸福樂章大樓管理委員會,中壢區榮安八街
681,心動一期公寓大廈,中壢區榮安八街
682,優PARK公寓大廈管理委員會,中壢區榮安十三街
683,歐洲世紀花園別墅管理委員會,中壢區榮安十三街
684,心動二期社區,中壢區榮安十三街
685,大江南北社區,中壢區榮安十三街
686,榮安雅居管理負責人,中壢區榮安十三街
687,深耕六期社區管理委員會,中壢區榮安十三街
688,萬代福社區,中壢區榮安十五街
689,閤泰新第社區,中壢區榮安十五街
690,連都大地一期公寓大廈管理委員會,中壢區榮安十五街
691,連都二期社區管理委員會,中壢區榮安十五街
692,大衛營社區,中壢區榮安三街
693,紅透天社區C區,中壢區榮安三街
694,統領大國別墅特區,中壢區榮安五街
695,統領大國別墅區,中壢區榮安五街
696,香榭大地社區管理委員會,中壢區榮安五街
697,榮安經典公寓大廈,中壢區榮安四街
698,深耕五期社區管理委員會,中壢區榮和五街
699,深耕七期社區管理委員會,中壢區榮和五街
700,漢口美墅公寓大廈管理負責人,中壢區漢口街
701,好芳鄰社區,中壢區福安一街
702,龍鳳京城社區,中壢區福安一街
703,楓丹花墅社區,中壢區福安二街
704,鶴之屋,中壢區福安二街
705,世紀三星大廈第三期,中壢區福安二街
706,雅緻名園管理委員會,中壢區福安二街
707,幸福大樓,中壢區福州一街
708,金玉滿堂公寓大廈,中壢區福州一街
709,花與綠社區,中壢區福州一街
710,學府苑管理負責人,中壢區福州一街
711,緣鄉公寓大廈管理委員會,中壢區福州二街
712,金順名園社區管理委員會,中壢區福州二街
713,豐田新秀,中壢區福州二街
714,京華園社區,中壢區福州二街
715,伯爵與夫人社區管理委員會,中壢區福州二街
716,水明漾社區管理委員會,中壢區福州二街
717,御墅社區管理負責人,中壢區福州五街
718,信義世家大樓,中壢區福州路
719,福州貴族大樓管理委員會,中壢區福州路
720,傳家堡社區管理負責人,中壢區福星一街
721,國鐵名園,中壢區福星七街
722,四季庭園社區,中壢區福星七街
723,旺家園管理委員會,中壢區福星三街
724,凱悅大樓,中壢區福星六街
725,福星晶華管理委員會,中壢區福星六街
726,世紀三星大廈第二期,中壢區福星六街
727,富都名園,中壢區福華街
728,太硯典藏社區管理委員會,中壢區福達路一段
729,忠福綠谷管理負責人,中壢區福壽一街
730,麗都花園廣場大廈,中壢區福壽一街
731,儒林世家公寓大廈,中壢區福壽九街
732,星墅管理負責人簡正結,中壢區福壽二街
733,琉森園管理委員會,中壢區福壽十一街
734,華廈社區管理負責人 李娟,中壢區福德里成章二街
735,名馳雋詠社區管理委員會,中壢區福嶺路
736,陽光麗墅CD區管理委員會,中壢區福嶺路二段
737,逸品社區管理負責人,中壢區福嶺路二段
738,世界MRT大廈管理委員會,中壢區領航北路一段
739,至遠公寓大廈管理負責人,中壢區領航北路二段
740,經典名品社區管理委員會,中壢區領航北路二段
741,東京線上社區管理管員會,中壢區領航北路二段
742,新世紀特區管理委員會,中壢區領航北路二段
743,領秀公寓社區管理委員會,中壢區領航北路二段
744,宜誠僑峰社區管理委員會,中壢區領航南路一段
745,晶品居管理負責人,中壢區領航南路二段
746,育嘉京品管理負責人 溫福常,中壢區領航南路四段
747,日安天下管理委員會,中壢區廣州路
748,東京都,中壢區廣州路
749,金鑽大樓,中壢區潮州街
750,凱悅春天社區管理委員會,中壢區篤行里10鄰
751,新麓金鑽社區管理負責人,中壢區篤行里4鄰
752,哈佛學舍管理負責人 鄒靜珠,中壢區興仁里13鄰
753,元智領袖會館管理負責人,中壢區興仁路二段
754,元智天下管理委員會,中壢區興仁路二段
755,寶島金鑽社區,中壢區興仁路二段
756,金璽傳家管理委員會,中壢區興仁路二段
757,金鑽名第社區,中壢區興仁路二段
758,新青年城,中壢區興仁路二段
759,青年城住戶管理委員會,中壢區興仁路二段
760,福興大樓社區管理委員會,中壢區興仁路二段
761,五久行館管理負責人,中壢區興仁路二段
762,六二行館管理委員會,中壢區興仁路二段
763,綠地芳庭,中壢區興仁路二段
764,鼎藏晶華二期社區管理委員會,中壢區興仁路二段
765,真愛美墅二區管理委員會,中壢區興仁路二段
766,真愛美墅三區管理委員會,中壢區興仁路二段
767,鼎藏晶華社區管理委員會,中壢區興仁路二段
768,中壢市翡翠大地,中壢區興仁路二段
769,翡翠大地,中壢區興仁路二段
770,真愛美墅一區管理委員會,中壢區興仁路二段
771,元智小博士,中壢區興仁路二段
772,綠第芳庭管理委員會,中壢區興仁路二段
773,元智生活會館社區,中壢區興仁路二段
774,花園宮庭管理委員會,中壢區興平路
775,新西華社區管理委員會,中壢區興安一街
776,元智大富翁社區管理委員會,中壢區興安一街
777,富山居社區管理委員會,中壢區興和里13鄰
778,錦繡傳家社區管理負責人,中壢區興和里18鄰
779,富俋悅府一期管理委員會,中壢區興和里6鄰中豐北路一段
780,馥邑庭園社區管理委員會,中壢區興和里
781,壢都大廈,中壢區興和路
782,海華國際會館管理委員會,中壢區興南里18鄰
783,福運企業大樓,中壢區興南里延平路
784,陽明商業大樓,中壢區興隆三街
785,金旺大廈管理負責人,中壢區興農路
786,德興大樓管理委員會,中壢區興農路
787,南亞國寶管理委員會,中壢區龍川二街
788,高誠富築社區管理委員會,中壢區龍川五街
789,逸墅達人第二期住戶管理委員會,中壢區龍川五街
790,大樹風雅社區,中壢區龍川四街
791,優活賞社區管理委員會,中壢區龍川四街
792,雅苑社區管理委員會,中壢區龍川四街
793,福星大第公寓大廈,中壢區龍川街
794,龍興進寶社區管理委員會,中壢區龍川街
795,益展詠富社區管理委員會,中壢區龍仁路
796,世佳堡花園別墅管理委員會,中壢區龍文街
797,世佳堡公寓大廈管理委員會,中壢區龍文街
798,羅浮宮二期管理委員會,中壢區龍文街
799,馨園二期管理委員會,中壢區龍吉二街
800,龍行天下公寓大廈,中壢區龍吉二街
801,元邦華府C區,中壢區龍安三街
802,澤苑聖宅NO.8期社區管理委員會,中壢區龍安五街
803,翰林華城社區管理委員會,中壢區龍安六街
804,太子鎮社區,中壢區龍和一街
805,中壢新都公寓大廈,中壢區龍和一街
806,福欣園邸社區,中壢區龍和三街
807,太子盛世社區,中壢區龍和三街
808,龍門別莊,中壢區龍岡里9鄰
809,尊爵家園管理負責人,中壢區龍岡路一段
810,錦苑公寓大廈管理委員會,中壢區龍岡路一段
811,帝璽社區管理委員會,中壢區龍岡路二段
812,雯福公寓大廈管理負責人莊在福,中壢區龍岡路二段
813,學府新貴公寓大廈管理委員會,中壢區龍岡路二段
814,傳世紀社區,中壢區龍岡路二段
815,北帝國皇家宮廷,中壢區龍岡路二段
816,清雲小富翁公寓大廈管理委員會,中壢區龍岡路二段
817,宜誠天裔社區管理委員會,中壢區龍岡路三段
818,宜誠璽悅社區管理委員會,中壢區龍岡路三段
819,溫馨雅築管理委員會,中壢區龍岡路三段
820,永昶城大樓,中壢區龍岡路三段
821,龍興園邸B區管理負責人,中壢區龍岡路三段
822,龍興園邸A區管理負責人,中壢區龍岡路三段
823,綠野庭園公寓大廈管理負責人江庭秀,中壢區龍岡路三段
824,金福星大廈,中壢區龍岡路三段
825,歐洲藝術社區管理負責人,中壢區龍岡路三段
826,龍昌富邑管理委員會,中壢區龍昌路
827,文心園公寓大廈管理負責人,中壢區龍昌路
828,富蔗村A區社區管理委員會,中壢區龍昌路
829,橘浧公寓管理負責人,中壢區龍昌路
830,南亞寶座社區管理委員會,中壢區龍昌路
831,新世紀社區,中壢區龍東里16鄰
832,南亞學墅管理負責人,中壢區龍東里3鄰
833,墅之境社區管理委員會,中壢區龍東里8鄰
834,新世界社區,中壢區龍東路
835,鼎福花鄉社區管理委員會,中壢區龍東路
836,南亞狀元住戶管理委員會,中壢區龍東路
837,南亞都會精品社區,中壢區龍東路
838,京鑽二區管理委員會,中壢區龍東路
839,璞石二期社區管理委員會,中壢區龍東路
840,龍崗城管理委員會,中壢區龍東路
841,龍門印象管理委員會,中壢區龍門街
842,龍德尊品社區,中壢區龍勇街
843,龍興學墅管理委員會,中壢區龍勇路
844,柏德廣場哈佛區公寓大廈,中壢區龍南路
845,麒麟桂冠社區,中壢區龍泉街
846,龍泉宮庭大廈,中壢區龍泉街
847,雙星,中壢區龍泉街
848,中壢市名人藝墅管理委員會,中壢區龍清街
849,馨園社區管理委員會,中壢區龍清街
850,太子國際村社區管理委員會,中壢區龍慈路
851,欣桃天然氣股份有限公司管理負責人,中壢區龍慈路
852,欣揚華府管理負責人,中壢區龍慈路
853,邦捷雲邸社區管理委員會,中壢區龍德里20鄰
854,囍來登社區管理委員會,中壢區龍興路
855,狀元府,中壢區龍興路
856,環東小貴族公寓大廈管理委員會,中壢區環中東路
857,環中音樂季社區,中壢區環中東路
858,環中愛樂社區,中壢區環中東路
859,SMART大廈,中壢區環中東路
860,依莎城堡社區,中壢區環中東路
861,北帝國觀天社區,中壢區環中東路
862,環東大街社區,中壢區環中東路
863,太陽帝國大廈,中壢區環中東路
864,鴻運金麒麟社區,中壢區環中東路
865,翰林廣場大廈管理委員會,中壢區環中東路
866,四季御花園管理負責人,中壢區環中東路
867,華志環中大樓管理負責人,中壢區環中東路
868,羅馬天下大樓,中壢區環北路
869,海華國際之星大廈管理委員會,中壢區環北路
870,凱撒雙星管理委員會,中壢區環北路
871,名第大廈,中壢區環北路
872,星廈大廈管理委員會,中壢區環北路
873,昇捷昇公?社區管理委員會,中壢區環西路二段
874,法國香榭公寓大廈管理委員會,中壢區環西路二段
875,宏國中壢新城公寓大廈管理委員會,中壢區環西路二段
876,法國之星社區管理委員會,中壢區環西路二段
877,世界1社區管理委員會,中壢區環西路二段
878,興園華廈管理負責人,中壢區環西路二段
879,藝墅,中壢區雙福路
880,二十一世紀,中壢區蘇州二街
881,普忠大道社區管理委員會,中壢區仁愛里22鄰普忠路591號
882,花田囍市社區管理委員會,中壢區月眉里5鄰環保路281號
883,泊林社區管理委員會,中壢區月眉里8鄰月眉路三段238號
884,呂素秋管理負責人,中壢區洽溪里13鄰永信路151號
885,呂游居管理負責人,中壢區洽溪里7鄰永信路213號
886,中原學景管理負責人,中壢區普忠里8鄰實踐路76號
887,墅里苑社區管理委員會,中壢區月眉路三段398-11號
888,傳世一品苑二期社區,中壢區永興里9鄰永嘉街43號
889,太子世界B棟管理委員會,中壢區金峰五街21巷13號
890,LINE新家社區管理委員會,中壢區福嶺路二段61號
891,文華漾社區管理委員會,中壢區龍陵路197號
892,湯城世紀社區管理委員會,中壢區中華路一段783巷10號
893,山東大院社區管理委員會,中壢區山安路100巷8號
894,靚宅管理負責人,中壢區中華路一段611號
895,西雅圖社區管理委員會,中壢區民溪七路37號
896,玉荷公寓大廈管理委員會,中壢區民溪三路135巷85號
897,公卿世家社區大樓管理委員會,中壢區健行路127號
898,中壢京采社區管理委員會,中壢區新興路236號
899,一心公寓管理負責人,中壢區龍岡路3段243巷61號
900,合信社區管理委員會,中壢區中華路1段644巷41弄1號
901,合眾內壢商場管理負責人,中壢區中華路一段665號
902,翰林貴族社區管理委員會,中壢區光明里36鄰白馬莊75之5-6號
903,RichOne社區管理委員會,中壢區青埔里15鄰高鐵站前西路2段57號
904,天翔社區管理委員會,中壢區華美三路353號
905,以馬內利管理負責人,中壢區榮安五街72號
906,泳嘉管理負責人,中壢區民族路六段576巷5號
907,宏惠光電廠辦大樓管理負責人,中壢區安東路5號
908,聯上世紀社區管理委員會,中壢區青埔里4鄰青商路28號
909,金吉社區管理負責人,中壢區福星六街30號
910,青青墅管理負責人,中壢區大圳路一段96巷26號
911,京沅綻社區管理委員會,中壢區松勇路126號
912,海華國際星鑽社區管理委員會,中壢區新街里15鄰七和路101號
913,萬曜典藏社區管理委員會,中壢區龍昌里4鄰龍川六街106巷13號等
914,富川詠社區管理委員會,中壢區中園路187巷7號
915,政芳社區管理負責人,中壢區信義里19鄰福州路163號
916,吉富捷靜公寓大廈管理委員會,中壢區高鐵南路三段727巷100號
917,康鈞湛社區管理委員會,中壢區陸光五街69號
918,藍海帝國N5管理委員會,中壢區過嶺里19鄰松勇三街50號
919,青埔HOME1社區管理委員會,中壢區洽溪里6鄰永園路410號
920,KHS莊園社區管理委員會,中壢區過嶺里3鄰福嶺路95巷66弄28號
921,十勝公寓大廈管理委員會,中壢區大華路28之5號
922,黃金屋管理委員會,中壢區幸福里福星五街61號
923,赫力管理負責人,中壢區長春二路136號
924,歡喜管理委員會,中壢區普忠里大仁一街23號
925,九福雙子星管理委員會,中壢區普強里大勇三街26之1號
926,竹風青庭社區管理委員會,中壢區領航北路一段296號
927,彩虹公寓大廈管理負責人,中壢區永福里中福二段10巷8號
928,心城堡社區管理負責人,中壢區陸光二街15號
929,迦綮精工管理負責人,中壢區中正路四段322號
930,合遠大學城向陽館社區管理委員會,中壢區興仁路2段331號
931,萬寶鎮E區管理委員會,中壢區龍昌路238巷50號
932,勝利天廈管理委員會,中壢區中山路88號
933,興邦大樓管理負責人,中壢區西園路17號
934,勤樸悅圓社區管理委員會,中壢區育樂路32號
935,松平硯管理委員會,中壢區過嶺里松平一街6號
936,環東明珠社區管理委員會,中壢區榮安一街295巷11號
937,禾企居管理委員會,中壢區永能路332號等
938,內壢之心社區管理委員會,中壢區長興街150巷19號
939,站前A+社區管理委員會,中壢區青雲路100號
940,幸福悅社區管理委員會,中壢區新生路三段888號
941,京松社區管理委員會,中壢區龍興路606號
942,和晏管理負責人,中壢區中山路426號
943,海川蘊2社區管理委員會,中壢區仁美里22鄰仁慈路350巷60號
944,明日禾禾社區管理委員會,中壢區芝芭里領航南路一段221號
945,日勝林森管理負責人,中壢區金三街45巷1號
946,國際金融雙星管理委員會,中壢區高鐵站前西路一段268號
947,皇樓景堡管理委員會,中壢區高鐵站前東路二段112號
948,和耀家社區管理委員會,中壢區復華十一街51號
949,中麗心閱三品公寓大廈管理委員會,中壢區中正里榮民路285巷24弄26號
950,合硯光合硯社區管理委員會,中壢區忠福里南園二路296巷21號
951,竹風青田社區管理委員會,中壢區洽溪里永園路一段100號
952,中悅柏軒社區管理委員會(木百),中壢區青埔里高鐵站前西路二段23號
953,青墨集大廈管理委員會,中壢區洽溪里洽溪路175號
954,樂居社區管理委員會,中壢區內定11街13巷1號
955,姜秀瑛管理負責人,中壢區自強里富國街48號
956,龍鑫悅NO18管理負責人,中壢區幸福里福壽六街59號
957,巨暉社區管理負責人,中壢區莊敬里國強路121號
958,民權大亨社區管理委員會,中壢區永光里民權路三段15巷105號
959,祥瑞石股份有限公司管理負責人,中壢區東興里1鄰新興路286號
960,佳泰世田谷社區管理委員會,中壢區青商路308號等
961,昭揚君逸社區管理委員會,中壢區陸光六街55號
962,合康新天王社區管理委員會,中壢區復興里長樂二街109號
963,寶月社區管理負責人,中壢區新中北路441號
964,昭揚君馥社區管理委員會,中壢區新明里新榮街35號
965,臻美社區管理委員會,中壢區過嶺里松信路117號
966,吾居吾墅社區管理委員會,中壢區過嶺里福田路609號
967,聖德家園管理委員會,中壢區龍安街22巷6號
968,萬寶鎮社區管理委員會,中壢區龍昌路254號
969,富達別墅社區管理委員會,中壢區成功里仁和街41巷14號
970,璞玉雅筑管理委員會,中壢區普忠里新中一街22之1號
971,亞洲廣場社區管理委員會,中壢區中美路二段157號
972,琴海社區管理委員會,中壢區永春路169號
973,將帥管理負責人,中壢區自治里29鄰陸光一街33號
974,快樂家庭管理委員會,中壢區忠福里中福路196號等
975,松翫社區管理負責人,中壢區松義一街73號
976,T1站前之星管理委員會,中壢區青埔里2鄰青峰路一段35號
977,六官管理負責人,中壢區陸光一街35號
978,富郁社區管理委員會,中壢區月眉里圓光路一段192號等
979,宜雄瓏耀社區管理委員會,中壢區過嶺里松勇路37號
980,儒林園社區管理委員會,中壢區力行北街53號
981,鳴暘富海二期社區,中壢區仁美里榮民南路578巷98弄9號
982,尊騰美術社區管理委員會,中壢區芝芭里文智路72號等
983,合悅緣社區管理委員會,中壢區復興里復華九街96號
984,華邑萬象管理委員會,中壢區中山路255號等
985,慶賀真鑽社區管理委員會,中壢區吉林路109號
986,冠德青璞匯管理委員會,中壢區芝芭里13鄰高鐵南路二段352號等
987,合康優世代社區,中壢區長樂二街130號
988,浪漫貴族公寓大廈,中壢區仁義里中園路93號
989,立鴻皇郡社區管理委員會,中壢區內厝里3鄰高鐵南路四段330巷29弄1號等
990,黃家大廈管理負責人,中壢區五權里21鄰五族三街25號等
991,富比仕管理負責人,中壢區內厝里9鄰中正路四段26巷21號等
992,宜誠有余社區管理委員會,中壢區青埔里15鄰青溪路一段301號等
993,幸福世家No.2社區管理委員會,中壢區三民里11鄰三民一路295號等
994,囍宿社區管理委員會,中壢區大華路111號
995,吉林華廈管理委員會,中壢區文化里10鄰吉林二路61巷11號
996,翰築攬翠社區管理委員會,中壢區月眉里7鄰聖德路二段385號等
997,一品閣社區管理委員會,中壢區芝芭里12鄰高鐵南路二段265號
998,捷寶雲品社區管理委員會,中壢區青埔里14鄰高鐵站前東路二段150號等
999,和耀家Ⅱ管理委員會,中壢區復華十一街50號
1000,山豐青釀管理委員會,中壢區山東里11鄰月桃路二段535號
1001,第一銀行中壢大樓管理負責人,中壢區中建里11鄰中正路146號等
1002,明漾二期社區管理委員會,中壢區明德里8鄰珠江街53號
1003,新潤A18社區管理委員會,中壢區青埔里2鄰春德路291號等
1004,璞園的家社區管理委員會,中壢區青埔里2鄰領航南路三段255號等
1005,成家大璽社區管理委員會,中壢區青埔里3鄰領航南路四段35號等
1006,大睦森悅社區管理委員會,中壢區青埔里4鄰青埔二街161號等
1007,藏韻宏觀管理委員會,中壢區洽溪里6鄰民權路四段475號等
1008,璟都Vpark社區管理委員會,中壢區洽溪里6鄰永裕路11號等
1009,百川文哲社區管理委員會,中壢區五權里21鄰五族二街119號等
1010,京品墅管理負責人,中壢區月眉里2鄰崇德二路556-1號等
1011,即富捷靜公寓大廈管理委員會,中壢區芝芭里2鄰東芝路一段136號等
1012,誠鑫One社區管理委員會,中壢區洽溪里6鄰民權路四段561號等
1013,瀧翔社區管理負責人,中壢區普忠里新中一街26號
1014,瀧翔社區管理負責人,中壢區新中一街36號
1015,青昇商辦管理負責人,中壢區青昇路237號
1016,林森社區管理委員會,中壢區新興里吳鳳一街31號
1017,昭揚君悅社區管理委員會,中壢區自治里強國路45號
1018,太子松馥社區管理委員會,中壢區過嶺里松勇路56號
1019,吉賀居6社區管理委員會,中壢區中壢區過嶺里過嶺路一段232號
1020,河烝商業大樓(管理負責人),中壢區東興里2鄰中北路二段203號
1021,新天地社區管理委員會,中壢區青埔四街36號
1022,學府吉第管理委員會,中壢區新興里林森路160號
1023,龍騰富御社區管理委員會,中壢區元化路236號
1024,鴻福大境社區管理委員會,中壢區內定二十二街176號
1025,明日朗朗社區管理委員會,中壢區永泰路83號等
1026,昭揚君(悅)社區管理委員會,中壢區自治里強國路45號
1027,青朗社區管理委員會,中壢區青埔四街163號
1028,中原名廬管理委員會,中壢區新中一街25巷10號
1029,奧萬大社區管理委員會,中壢區水尾里永清街一段139巷11號
1030,展志學社區管理委員會,中壢區成功里成章二街420號
1031,冠德青璞匯商場管理負責人,中壢區芝芭里高鐵南路二段352號
1032,三鶯鼎硯社區管理委員會,中壢區後寮里25鄰龍慈路198號
1033,龍騰漾公寓大廈管理委員會,中壢區新街里慈惠三街72號
1034,佳泰超級郡社區管理委員會,中壢區過嶺里松信路36號
1035,宜雄翔耀社區管理委員會,中壢區過嶺里松義路100號
1036,深耕A21社區管理委員會,中壢區興平里中豐北路51號
1037,龍岡森林管理委員會,中壢區龍岡路三段262巷197弄7號
1038,青松小棧管理委員會,中壢區龍興里龍仁路3巷29號
1039,享青松社區管理委員會,中壢區青埔里6鄰青松街317號
1040,安琪兒社區管理負責人,中壢區環西路二段255號
1041,日勝新天地5管理委員會,中壢區內定里內定二街636巷27號
1042,鉑水漾社區管理委員會,中壢區華勛里華美三路321號
1043,王品寵物用品有限公司管理負責人,中壢區過嶺里4鄰高鐵南路四段815號
1044,行健大樓管理負責人,中壢區永福里7鄰中園路168-1號
1045,鴻福帝景社區管理委員會,中壢區永福里西園路116號
1046,樺龍上府社區管理委員會,中壢區芝芭里永園路358號
1047,旺福晶鑽管理負責人,中壢區華勛里9鄰晉元路138號
1048,亞城立豐管理負責人,中壢區忠義里中華路二段201號
1049,英倫花園社區管理委員會,中壢區領航南路四段109號
1050,原宿飯店宅社區管理負責人,中壢區協同街80號
1051,青境美墅社區管理委員會,中壢區水尾里永清街一段161號
1052,一品墅社區管理委員會,中壢區水尾里永清街一段75巷2號
1053,江岸拓美管理負責人,中壢區光明里光輝二街21號
1054,劉公館管理負責人,中壢區新明里中央西路二段208號
1055,幸福公園6社區管理委員會,中壢區過嶺里松義路179號
1056,大清六藝社區管理委員會,中壢區三民里三民一路260號
1057,群邑皇冠社區管理委員會,中壢區五權里正光街180號
1058,政東管理負責人,中壢區忠信路15號
1059,皇居禾昇社區管理委員會,中壢區青埔里青埔四街177號
1060,青塘四季社區管理委員會,中壢區青溪里永能路231號
1061,鼎藏文星社區管理委員會,中壢區洽溪里永順一街156號
1062,松御苑管理負責人,中壢區過嶺里松仁路38號
1063,大清大疆戶社區管理委員會,中壢區中園路2段46巷339弄23號
1064,松德大苑社區管理委員會,中壢區松德路82號
1065,麗墅社區管理負責人,中壢區高鐵南路三段831巷40號
1066,合悅璇社區管理委員會,中壢區復華十一街67號
1067,泳達御墅社區管理委員會,中壢區大圳路二段193巷46號
1068,吉富御管理委員會,中壢區過嶺里20鄰松信路139號
1069,忻津知公寓大廈管理委員會,中壢區正大街29號
1070,根雲住宅管理負責人,中壢區青埔一街56號
1071,玖都森學園社區管理委員會,中壢區領航北路二段268號
1072,宏星馥苑管理負責人,中壢區興平里中豐北路21號等
1073,金典名邸管理委員會,中壢區中榮里中原路7號
1074,新森活社區管理委員會,中壢區永昌路133號
1075,鋒橋笙合社區管理委員會,中壢區芝芭里圓光路138號
1076,良茂詠恆恆美館社區管理委員會,中壢區青埔里青商路56號等
1077,青埔城家管理委員會,中壢區山東路218巷27號
1078,鼎富雅居管理負責人,中壢區健行路45巷30號
1079,植青墅社區管理委員會,中壢區月桃路二段506巷78號
1080,故鄉緣社區管理委員會,中壢區東興里東昇街9號
1081,家瑞管理負責人,中壢區龍川三街59號
1082,國王城堡社區管理委員會,中壢區龍岡路三段106號
1083,御楓經典管理負責人,中壢區成章二街539巷12號
1084,幸福日光管理負責人,中壢區元生三街99號
1085,新京站社區管理委員會,中壢區高鐵站前東一段91號
1086,鼎藏麗星社區管理委員會,中壢區永順一街212號
1087,益百代管理負責人,中壢區中豐路363號
1088,國泰青埔資訊大樓管理負責人,中壢區青埔路二段111號
1089,築園心田社區管理委員會,中壢區過嶺里5鄰福達路二段385號
1090,威均天翔社區管理委員會,中壢區領航南路三段468號
1091,鼎藏帝苑社區管理委員會,中壢區延平路353巷69號
1092,兆山辰公司管理負責人,中壢區東園二路6號
1093,日和花園社區管理委員會,中壢區青商路283號
1094,映山富御管理負責人,中壢區龍陵路157號
1095,金火華廈管理委員會,中壢區龍岡路三段162號
1096,悠活居社區管理委員會,中壢區晉元路337巷66號
1097,環東大道社區管理委員會,中壢區榮安五街3號
1098,祥暉大廈管理負責人,中壢區復華街186巷17弄26號
1099,鼎富香榭管理負責人,中壢區圓光路一段86號
1100,青沐詩藏管理委員會,中壢區洽溪里永春路143號等
1101,民權青塘管理負責人,中壢區永能路92號
